league_norm,market_norm,bets,stake,profit,roi,avg_clv,median_clv,worst_decile_clv,avg_os_rating
NCAAM,Point Spread,21.0,188.43110000000001,-47.19,-0.250436366395993,0.03735996275896619,0.04499999999999993,-0.012392719542978646,20.0
NCAAM,Points,59.0,553.83,64.64999999999999,0.11673257136666483,0.0638665982201842,0.06382978723404253,0.0,20.0
NCAAM,Rebounds,3.0,44.0,10.600000000000001,0.24090909090909093,0.07979463974939094,0.07979463974939094,0.03948833971458417,20.0
NCAAM,Total,10.0,75.32039,-27.16,-0.36059292842217094,0.029562508987903514,0.025576923076923053,-0.07612121212121216,20.0
NCAAM,Total Points,3.0,24.0,-8.98,-0.3741666666666667,0.02080405932864937,0.02080405932864937,0.015589383294301262,20.0
NFL,Moneyline,3.0,40.99078,39.74,0.9694863088723855,0.0037436543002657974,0.018181818181818077,-0.04601880877742941,20.0
NFL,Other,8.0,64.19,-6.560000000000002,-0.10219660383237268,0.05197718575500979,-0.030138011306950374,-0.06635761589403966,20.0
NFL,Point Spread,10.0,74.8,-0.8900000000000006,-0.011898395721925142,0.21754995638184244,0.24468302658486718,-0.048529668411867295,20.0
NFL,Team Total,3.0,60.0,11.73,0.1955,0.0053425207385603786,0.021621621621621623,-0.04767567567567563,20.0
NFL,Total,11.0,112.0,70.7,0.63125,0.03991364513001884,0.013145000979925436,-0.11057142857142851,20.0
NFL,Total Points,14.0,196.07999999999998,75.03,0.38264993880048964,0.08242012457354725,0.0,-0.07068557919621743,20.0
NFL,Total Receiving Yards,19.0,245.66008,118.42,0.4820482025406814,0.009250494542186096,-0.02528248587570625,-0.0804385964912281,20.0
NFL,Total Receptions,13.0,136.88808,-33.839999999999996,-0.24720925298974167,0.13715245767803996,0.06508875739644981,-0.006092896174863372,20.0
NFL,Total Rushing Yards,22.0,230.97102999999998,77.35,0.3348904838844941,0.016069348044847182,0.0,-0.01058201058201047,20.0
NHL,Assists,22.0,164.41827,-14.759999999999998,-0.0897710455170219,0.011907407944888294,0.0,-0.020601851851851795,20.0
NHL,Moneyline,1.0,10.0,-10.0,-1.0,-0.021276595744680993,-0.021276595744680993,-0.021276595744680993,20.0
NHL,Other,2.0,15.0,6.800000000000001,0.45333333333333337,-0.00806893850372109,-0.00806893850372109,-0.04335291813552668,20.0
NHL,Points,17.0,134.98278,-65.42,-0.4846544129554896,0.022294787855135802,0.0235294117647058,-0.031487414187643004,20.0
NHL,Total,15.0,361.0,-11.150000000000006,-0.0308864265927978,0.044623243933588706,0.0,-0.01379310344827589,20.0
NHL,Total Points,3.0,33.0,-33.0,-1.0,0.25682747413338763,0.1116279069767443,0.09560802414344041,20.0
NHL,Total Saves,23.0,284.98494,54.60000000000001,0.191589071338296,0.09459757932495066,0.09562834224598926,0.061224872688287336,20.0
NHL,Total Shots on Goal,209.0,1690.95344,-62.489999999999995,-0.036955482346101735,0.0373577196013901,0.04095022624434386,-0.004789708968159778,20.0
TENNIS,Point Spread,1.0,1.0,0.0,0.0,,,,20.0
UEFA Champions League,Other,1.0,1.0,1.63,1.63,,,,20.0
UFC,Moneyline,1.0,5.0,-5.0,-1.0,0.23873873873873852,0.23873873873873852,0.23873873873873852,20.0
other,Other,12.0,288.45,146.18,0.5067776044375109,,,,20.0
other,Point Spread,2.0,37.5,32.68,0.8714666666666666,,,,20.0
other,Total,31.0,888.1,0.1600000000000108,0.000180159891904077,,,,20.0
