league_norm,market_norm,sportsbook,bets,stake,profit,roi,avg_clv,median_clv,worst_decile_clv
NBA,Rebounds,BetRivers - Indiana,1.0,5.0,4.2,0.8400000000000001,-0.016042780748663166,-0.016042780748663166,-0.016042780748663166
NBA,Rebounds,Draftkings Sportsbook,10.0,105.0,48.67,0.46352380952380956,0.0758589085508813,0.029869477911646625,-0.0131892826274849
NBA,Rebounds,Hard Rock Sportsbook,248.0,1931.79,54.209999999999994,0.028062056434705634,0.04769984571817855,0.043689320388349495,-0.049387084544420506
NBA,Rebounds,Novig,42.0,962.4913699999998,203.85999999999999,0.2118044964912257,0.049795544718611334,0.04761904761904767,-0.045454545454545525
NBA,Rebounds,ProphetX,3.0,20.89,-20.89,-1.0,0.11299435028248594,0.11299435028248594,0.11299435028248594
NBA,Rebounds,theScore Bet,3.0,28.0,23.89,0.8532142857142857,0.0032705391839206177,-0.020942408376963262,-0.02748945254917905
NBA,Rebounds + Assists,Caesars Sportsbook,9.0,72.0,5.14,0.07138888888888889,0.043368856715945606,0.037735849056603765,0.011537537826024404
NBA,Rebounds + Assists,Draftkings Sportsbook,27.0,211.44,7.310000000000002,0.034572455542943636,0.01036427959036978,0.02483438654333414,-0.06775612822124451
NBA,Rebounds + Assists,Fanatics,12.0,102.0,21.129999999999995,0.207156862745098,0.0681650290400585,0.037476020827624024,-0.0025226206831208964
NBA,Rebounds + Assists,Onyx,4.0,32.0,-16.79,-0.5246875,-0.02351014115720007,-0.02351014115720007,-0.05515247868189048
NBA,Steals,Draftkings Sportsbook,2.0,19.369999999999997,-19.369999999999997,-1.0,0.11058254610886198,0.11058254610886198,-0.0301911830859199
NBA,Steals + Blocks,Draftkings Sportsbook,1.0,10.0,-10.0,-1.0,0.0049261083743843415,0.0049261083743843415,0.0049261083743843415
NBA,Total,BetMGM,7.0,106.87,75.52000000000001,0.7066529428277347,0.05076253247485212,0.043715846994535346,-0.03478260869565214
NBA,Total,BetRivers - Indiana,13.0,51.739999999999995,45.01,0.8699265558562042,0.007480860730999674,0.01727982162764774,-0.019176470588235305
NBA,Total,Draftkings Sportsbook,6.0,67.71000000000001,-33.14,-0.48944025993206314,0.05754091152407986,0.05718819212588011,-0.001283783783783854
NBA,Total,Fanatics,2.0,18.0,-18.0,-1.0,0.07640158920350637,0.07640158920350637,0.06623573185344012
NBA,Total,Fanduel Sportsbook,44.0,330.07,17.429999999999996,0.05280698033750415,0.035189914980118496,0.027550091074681204,-0.039694189602446486
NBA,Total,Hard Rock Sportsbook,21.0,204.0,13.589999999999998,0.06661764705882352,0.024006703549345493,0.024390243902439046,-0.0882282054813387
NBA,Total,Novig,7.0,124.02836,62.870000000000005,0.5069001960519353,0.04238283721339851,0.028904383911984022,-0.000690147548786324
NBA,Total,Onyx,3.0,37.0,-37.0,-1.0,0.028787222783470456,0.029585798816567976,0.02011834319526633
NBA,Total Assists,BetMGM,12.0,185.15,12.98,0.07010532001080205,0.0752564085224439,0.0771897552002263,-0.0050925925925926025
NBA,Total Assists,theScore Bet,2.0,90.0,-90.0,-1.0,-0.0073337679269883105,-0.0073337679269883105,-0.02858539765319429
NBA,Total Points,BetMGM,2.0,16.0,-16.0,-1.0,,,
NBA,Total Points,BetRivers - Indiana,1.0,1.0,-1.0,-1.0,0.06703910614525133,0.06703910614525133,0.06703910614525133
NBA,Total Points,Caesars Sportsbook,3.0,185.0,-7.57,-0.04091891891891892,0.22332460732984294,0.22332460732984294,0.07398429319371735
NBA,Total Points,ProphetX,4.0,79.97,-15.55,-0.19444791796923847,0.08182151873120502,0.08891041714155457,0.04049702633814774
NBA,Total Points,theScore Bet,7.0,81.0,55.769999999999996,0.6885185185185184,0.02940408123199583,-0.016393442622950838,-0.053475935828877
NCAAFB,Moneyline,Draftkings Sportsbook,1.0,5.0,-5.0,-1.0,0.123404255319149,0.123404255319149,0.123404255319149
NCAAFB,Other,Caesars Sportsbook,1.0,1.0,1.1,1.1,0.009615384615384581,0.009615384615384581,0.009615384615384581
NCAAFB,Point Spread,BetRivers - Indiana,1.0,1.0,1.15,1.15,-0.022727272727272818,-0.022727272727272818,-0.022727272727272818
NCAAFB,Total,BetMGM,1.0,5.0,4.55,0.9099999999999999,0.0,0.0,0.0
NCAAFB,Total,Draftkings Sportsbook,2.0,13.0,4.52,0.34769230769230763,0.10758414360508606,0.10758414360508606,0.0763739715781602
NCAAFB,Total,Fanduel Sportsbook,2.0,16.0,-0.9800000000000004,-0.06125000000000003,,,
NCAAFB,Total Points,Fanatics,1.0,1.0,0.87,0.87,-0.020942408376963262,-0.020942408376963262,-0.020942408376963262
NCAAFB,Total Receiving Yards,BetMGM,15.0,107.0,6.790000000000001,0.06345794392523366,0.0027656975790047366,0.0,-0.02500067818679967
NCAAFB,Total Receiving Yards,ProphetX,1.0,8.0,-8.0,-1.0,0.1578947368421053,0.1578947368421053,0.1578947368421053
